AAPL , 2015-01-28 , 0.976376723615 , 0.957254357818 , 0.95380712861 , 0.958597632627 , 0.945492032997 , 0.939112675016 , 71.0526315789 , 61.8537494178 , 51.8125323666 , 79.4799975628 , 65.6240406205 , 60.0486806564 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.05653289353 , 1.08793282385 , 1.08793282385 , 1.070028496 , 1.09682130602 , 1.09682130602 , 0.545752296353 , 0.469482289203 , 0.415040873714 , 0.545752296353 , 0.469482289203 , 0.415040873714 , 75.0 , 22.2222222222 , 63.1578947368 , 100.0 , 100.0 , 100.0 , 75.0 , 22.2222222222 , 63.1578947368 , 100.0 , 100.0 , 100.0 , 0.396828258252 , 0.391441881563 , 1.07054449976 , -0.603171741739 , -0.608558118435 , 0.0705444997757 , 0.612961544429 , 0.827612731125 , 1.01999433904 , 0.836088198369 , 1.17113743453 , 1.57703812558 , 0.14280221906 , 0.150186043109 , 0.470447723383 , -0.214213626468 , -0.229843780864 , 0.0351093472627 , 115.31 , 145448000.0,0.002823
AIG , 2015-01-28 , 1.03507417192 , 1.03444421865 , 1.07007722008 , 1.01526036293 , 1.02089469214 , 1.05268841602 , 32.0796460177 , 31.8801089918 , 21.3836477987 , 30.4720002243 , 19.9564838672 , 16.2642505872 , 0.0587222647284 , 0.0587222647284 , 0.129180675987 , 0.0298520731772 , 0.0374153340116 , 0.0981824374312 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.852899730885 , 0.808751883366 , 0.80704487855 , 0.852899730885 , 0.808751883366 , 0.80704487855 , 100.0 , 100.0 , 100.0 , 0.0 , 55.5555555556 , 0.0 , 100.0 , 100.0 , 100.0 , 0.0 , 0.0 , 10.5263157895 , 1.59668682224 , 1.48486632111 , 1.01311612504 , 0.596686822199 , 0.484866321098 , 0.0131161250473 , -0.742262956975 , -1.03751746387 , -0.793913118655 , -0.66326756242 , -0.919538595898 , -0.69208644571 , 0.940141057025 , 0.936366783544 , 0.811011586086 , 0.717799919761 , 0.656817585269 , 0.0179442471747 , 49.21 , 11482100.0,-0.019822
AMGN , 2015-01-28 , 1.02514226591 , 1.01728530781 , 1.01746960683 , 1.00567818607 , 1.00408793359 , 1.00115037388 , 31.9736842105 , 48.6427795874 , 39.4716593998 , 45.9068269044 , 54.0649092279 , 47.9706126588 , 0.0323509167136 , 0.0323509167136 , 0.0372906679948 , 0.0132524622254 , 0.0155391974724 , 0.0155391974724 , 1.0 , 1.01790416008 , 1.01790416008 , 1.0 , 1.01343082698 , 1.01450122766 , 0.720746242874 , 0.712396355156 , 0.742129469684 , 0.720746242874 , 0.712396355156 , 0.742129469684 , 100.0 , 11.1111111111 , 57.8947368421 , 25.0 , 66.6666666667 , 0.0 , 100.0 , 11.1111111111 , 36.8421052632 , 75.0 , 22.2222222222 , 63.1578947368 , 0.992566676912 , 1.46498087531 , 1.18370347641 , -0.0074333230796 , 0.464980875296 , 0.183703476421 , -0.88223210734 , -0.509794392286 , -0.5545264756 , -0.52179214809 , -0.245018065983 , -0.0629693015125 , 0.811654302559 , 0.791435224806 , 0.684077369639 , -0.0104053186748 , 0.380111757364 , 0.144031073323 , 154.64 , 4631200.0,0.013187
DOV , 2015-01-28 , 1.02626822157 , 1.0215451895 , 1.02400145773 , 1.00668703068 , 1.00824571464 , 1.00749444549 , 24.9190938511 , 47.2081218274 , 38.203957382 , 30.7055756387 , 51.1650481471 , 44.1615420044 , 0.0477512493059 , 0.0477512493059 , 0.0662855587315 , 0.0184692642541 , 0.0288026108321 , 0.0291339709415 , 1.0 , 1.00014579385 , 1.00014579385 , 1.00789472301 , 1.00789472301 , 1.01111230078 , 1.00264521895 , 1.02177390527 , 0.98931411975 , 1.00264521895 , 1.02177390527 , 0.98931411975 , 100.0 , 11.1111111111 , 57.8947368421 , 0.0 , 55.5555555556 , 0.0 , 25.0 , 66.6666666667 , 42.1052631579 , 0.0 , 44.4444444444 , 0.0 , 1.04443476913 , 1.1639912119 , 1.29974467225 , 0.0444347691018 , 0.163991211888 , 0.299744672252 , -0.695380845599 , -0.591868320453 , -0.593014957513 , -0.303613727507 , -0.373156903084 , -0.326251904768 , 0.595854488866 , 0.65540172819 , 0.768531289551 , 0.0315500491716 , 0.121352471196 , 0.266960887985 , 68.6 , 2238000.0,0.003373
DVN , 2015-01-28 , 1.03939756974 , 1.0302241999 , 1.02465343146 , 1.01929122422 , 1.01648161163 , 1.00764921294 , 27.5177304965 , 48.350071736 , 43.9068100358 , 34.6721042928 , 50.7793938486 , 49.8405351195 , 0.0590982286634 , 0.0590982286634 , 0.0590982286634 , 0.04560262619 , 0.04560262619 , 0.04560262619 , 1.0 , 1.00985136536 , 1.01617391304 , 1.0 , 1.00582323055 , 1.02448108102 , 0.795309468477 , 0.904144724218 , 0.879490650918 , 0.795309468477 , 0.904144724218 , 0.879490650918 , 100.0 , 11.1111111111 , 21.0526315789 , 75.0 , 88.8888888889 , 94.7368421053 , 100.0 , 11.1111111111 , 26.3157894737 , 75.0 , 88.8888888889 , 94.7368421053 , 1.09659994598 , 1.81451724073 , 1.62720733437 , 0.0965999459632 , 0.81451724073 , 0.62720733439 , -0.77856157042 , -0.577421081086 , -0.498226821629 , -0.500155038632 , -0.440732382678 , -0.21044843121 , 0.418611887171 , 0.604979537568 , 0.663101691373 , 0.0405711787141 , 0.3228049027 , 0.323140770606 , 58.43 , 4690300.0,-0.017121
ESS , 2015-01-28 , 1.00601821301 , 1.00136817562 , 0.974433592891 , 0.987209204381 , 0.988829876021 , 0.959910008918 , 58.2222222222 , 64.2647920328 , 73.4319364558 , 92.0256006057 , 67.809571815 , 78.1390422446 , 0.0121680935205 , 0.0121680935205 , 0.0121680935205 , 0.0 , 0.0049515742688 , 0.0049515742688 , 1.0 , 1.00829488999 , 1.10024201355 , 1.0234708673 , 1.0234708673 , 1.1294959874 , 0.918610827375 , 0.860122574055 , 0.792594484168 , 0.918610827375 , 0.860122574055 , 0.792594484168 , 100.0 , 0.0 , 5.26315789474 , 50.0 , 77.7777777778 , 89.4736842105 , 0.0 , 55.5555555556 , 5.26315789474 , 100.0 , 11.1111111111 , 57.8947368421 , 0.737424604947 , 0.334568238998 , 0.294522654457 , -0.262575395052 , -0.665431760971 , -0.705477345535 , -0.612653877566 , -0.101211657571 , 0.389107346189 , 0.630551362202 , 0.577733766746 , 0.545497721469 , 0.93214024784 , 0.395829666693 , 0.329964024101 , -0.675708366765 , -0.650858782054 , -0.641960905855 , 227.31 , 489500.0,0.008002
FCX , 2015-01-28 , 1.08633754305 , 1.09098737084 , 1.19454649828 , 1.06437782907 , 1.07538937189 , 1.17251177864 , 14.3695014663 , 26.3089005236 , 28.9634146341 , 9.99456535348 , 22.8911931464 , 28.7453074962 , 0.12987012987 , 0.12987012987 , 0.251074806535 , 0.102066033905 , 0.108087162256 , 0.228520442048 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.877235987032 , 0.986253649019 , 0.775812869486 , 0.877235987032 , 0.986253649019 , 0.775812869486 , 100.0 , 100.0 , 100.0 , 0.0 , 55.5555555556 , 0.0 , 100.0 , 100.0 , 100.0 , 0.0 , 44.4444444444 , 36.8421052632 , 2.6021435365 , 3.56807827886 , 2.406821108 , 1.60214353649 , 2.56807827884 , 1.40682110802 , -0.72838951226 , -0.999192157337 , -0.850465579426 , -0.718167794636 , -1.039149796 , -0.821730622755 , 0.889232618485 , 0.75846280204 , 0.606818379006 , 0.767390833624 , 0.64212393427 , 0.407511390481 , 17.42 , 27267600.0,0.102387
GNW , 2015-01-28 , 1.04126984127 , 1.03939393939 , 1.10375180375 , 1.02108965683 , 1.02537171879 , 1.08467504072 , 41.0 , 31.3829787234 , 28.4507042254 , 44.4911139068 , 26.768780425 , 27.2225003728 , 0.0622462787551 , 0.0622462787551 , 0.190420560748 , 0.0331299665859 , 0.04657985967 , 0.159987241806 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.822200150001 , 0.957610524395 , 1.11685991122 , 0.822200150001 , 0.957610524395 , 1.11685991122 , 100.0 , 100.0 , 100.0 , 0.0 , 55.5555555556 , 0.0 , 100.0 , 100.0 , 100.0 , 0.0 , 0.0 , 5.26315789474 , 2.52097572825 , 2.34495871697 , 1.74252226667 , 1.52097572822 , 1.34495871696 , 0.742522266673 , -0.79103375031 , -0.973318560302 , -0.688618580619 , -0.763642319544 , -0.816362286907 , -0.626831645328 , 0.958466340258 , 0.860674902054 , 0.724732316432 , 0.896851465464 , 0.696085464623 , 0.408997049093 , 6.93 , 4933300.0,-0.000129
HRL , 2015-01-28 , 1.01404580153 , 0.998854961832 , 0.986603053435 , 0.994997475614 , 0.986104014099 , 0.971232780345 , 35.7487922705 , 70.1863354037 , 47.4951830443 , 59.848770276 , 85.3873514136 , 64.74544492 , 0.0247533966127 , 0.0247533966127 , 0.0247533966127 , 0.0 , 0.0 , 0.0 , 1.0 , 1.04092173222 , 1.04653485121 , 1.01069927693 , 1.04533089565 , 1.055590076 , 1.102028233 , 1.28706798637 , 1.24905078695 , 1.102028233 , 1.28706798637 , 1.24905078695 , 100.0 , 0.0 , 21.0526315789 , 0.0 , 55.5555555556 , 78.9473684211 , 50.0 , 0.0 , 42.1052631579 , 100.0 , 100.0 , 100.0 , 0.736564577389 , 0.697011163002 , 0.871192736116 , -0.263435422598 , -0.302988836977 , -0.128807263865 , -0.73817342952 , 0.0266421481684 , 0.301258086154 , 0.640318894194 , 0.509046225151 , 0.781084146205 , 0.937210217428 , 0.684890618002 , 0.769378312709 , -0.692943538552 , -0.378238468669 , -0.175318027726 , 52.4 , 616300.0,-0.005489
LO , 2015-01-28 , 1.00173068165 , 0.995734021558 , 0.978267800213 , 0.983128147117 , 0.983419812229 , 0.96373173796 , 62.9032258065 , 87.7005347594 , 72.5450901804 , 70.7887617652 , 70.5390427619 , 73.5042238528 , 0.00347957639939 , 0.00347957639939 , 0.00347957639939 , 0.0 , 0.0 , 0.0 , 1.0 , 1.01918613647 , 1.05425736236 , 1.02650548211 , 1.02650548211 , 1.07920388292 , 0.682630013222 , 0.652842661966 , 0.61170256721 , 0.682630013222 , 0.652842661966 , 0.61170256721 , 100.0 , 0.0 , 15.7894736842 , 0.0 , 55.5555555556 , 78.9473684211 , 0.0 , 55.5555555556 , 10.5263157895 , 100.0 , 100.0 , 100.0 , 0.229023772411 , 0.203612918217 , 0.235423987295 , -0.770976227602 , -0.796387081783 , -0.76457601269 , -0.613577545101 , 0.2706771267 , 0.546829102894 , 0.788418322141 , 1.0659529769 , 0.788168224248 , 0.894265253516 , 0.720520066407 , 0.516422547941 , -0.989129532204 , -0.97103612617 , -0.890624518789 , 65.87 , 3630400.0,0.012276
